Distrito;Município
AVEIRO;ÁGUEDA
AVEIRO;ALBERGARIA-A-VELHA
AVEIRO;ANADIA
AVEIRO;AROUCA
AVEIRO;AVEIRO
AVEIRO;CASTELO DE PAIVA
AVEIRO;ESPINHO
AVEIRO;ESTARREJA
AVEIRO;SANTA MARIA DA FEIRA
AVEIRO;MEALHADA
AVEIRO;MURTOSA
AVEIRO;OLIVEIRA DE AZEMÉIS
AVEIRO;OLIVEIRA DO BAIRRO
AVEIRO;OVAR
AVEIRO;SÃO JOÃO DA MADEIRA
AVEIRO;SEVER DO VOUGA
AVEIRO;VAGOS
AVEIRO;VALE DE CAMBRA
AVEIRO;ÍLHAVO
BEJA;ALJUSTREL
BEJA;ALMODÔVAR
BEJA;ALVITO
BEJA;BARRANCOS
BEJA;BEJA
BEJA;CASTRO VERDE
BEJA;CUBA
BEJA;FERREIRA DO ALENTEJO
BEJA;MÉRTOLA
BEJA;MOURA
BEJA;ODEMIRA
BEJA;OURIQUE
BEJA;SERPA
BEJA;VIDIGUEIRA
BRAGA;AMARES
BRAGA;BARCELOS
BRAGA;BRAGA
BRAGA;CABECEIRAS DE BASTO
BRAGA;CELORICO DE BASTO
BRAGA;ESPOSENDE
BRAGA;FAFE
BRAGA;GUIMARÃES
BRAGA;VIZELA
BRAGA;PÓVOA DE LANHOSO
BRAGA;TERRAS DE BOURO
BRAGA;VIEIRA DO MINHO
BRAGA;VILA NOVA DE FAMALICÃO
BRAGA;VILA VERDE
BRAGANÇA;ALFÂNDEGA DA FÉ
BRAGANÇA;BRAGANÇA
BRAGANÇA;CARRAZEDA DE ANSIÃES
BRAGANÇA;FREIXO DE ESPADA À CINTA
BRAGANÇA;MACEDO DE CAVALEIROS
BRAGANÇA;MIRANDA DO DOURO
BRAGANÇA;MIRANDELA
BRAGANÇA;MOGADOURO
BRAGANÇA;TORRE DE MONCORVO
BRAGANÇA;VILA FLOR
BRAGANÇA;VIMIOSO
BRAGANÇA;VINHAIS
CASTELO BRANCO;BELMONTE
CASTELO BRANCO;CASTELO BRANCO
CASTELO BRANCO;COVILHÃ
CASTELO BRANCO;FUNDÃO
CASTELO BRANCO;IDANHA-A-NOVA
CASTELO BRANCO;OLEIROS
CASTELO BRANCO;PENAMACOR
CASTELO BRANCO;PROENÇA-A-NOVA
CASTELO BRANCO;SERTÃ
CASTELO BRANCO;VILA DE REI
CASTELO BRANCO;VILA VELHA DE RÓDÃO
COIMBRA;ARGANIL
COIMBRA;CANTANHEDE
COIMBRA;COIMBRA
COIMBRA;CONDEIXA-A-NOVA
COIMBRA;FIGUEIRA DA FOZ
COIMBRA;GÓIS
COIMBRA;LOUSÃ
COIMBRA;MIRA
COIMBRA;MIRANDA DO CORVO
COIMBRA;MONTEMOR-O-VELHO
COIMBRA;OLIVEIRA DO HOSPITAL
COIMBRA;PAMPILHOSA DA SERRA
COIMBRA;PENACOVA
COIMBRA;PENELA
COIMBRA;SOURE
COIMBRA;TÁBUA
COIMBRA;VILA NOVA DE POIARES
ÉVORA;ALANDROAL
ÉVORA;ARRAIOLOS
ÉVORA;BORBA
ÉVORA;ESTREMOZ
ÉVORA;ÉVORA
ÉVORA;MONTEMOR-O-NOVO
ÉVORA;MORA
ÉVORA;MOURÃO
ÉVORA;PORTEL
ÉVORA;REDONDO
ÉVORA;REGUENGOS DE MONSARAZ
ÉVORA;VENDAS NOVAS
ÉVORA;VIANA DO ALENTEJO
ÉVORA;VILA VIÇOSA
FARO;ALBUFEIRA
FARO;ALCOUTIM
FARO;ALJEZUR
FARO;CASTRO MARIM
FARO;FARO
FARO;LAGOA (ALGARVE)
FARO;LAGOS
FARO;LOULÉ
FARO;MONCHIQUE
FARO;OLHÃO
FARO;PORTIMÃO
FARO;SÃO BRÁS DE ALPORTEL
FARO;SILVES
FARO;TAVIRA
FARO;VILA DO BISPO
FARO;VILA REAL DE SANTO ANTÓNIO
GUARDA;AGUIAR DA BEIRA
GUARDA;ALMEIDA
GUARDA;CELORICO DA BEIRA
GUARDA;FIGUEIRA DE CASTELO RODRIGO
GUARDA;FORNOS DE ALGODRES
GUARDA;GOUVEIA
GUARDA;GUARDA
GUARDA;MANTEIGAS
GUARDA;MEDA
GUARDA;PINHEL
GUARDA;SABUGAL
GUARDA;SEIA
GUARDA;TRANCOSO
